strategy,family,top_k,momentum_window,absolute_trend_window,fallback,holding_days,deposit_timing,w12,w24,max_drawdown,fees,turnover,blocked,unexecutable_rate,sample_windows
B028,u4_rotation,1,120,60,cash,5,ending,353569.97246,709199.9331399999,0.07979933082358781,2252.46686,3217809.8,47,0.09690721649484536,1
B029,u4_rotation,1,120,60,cash,20,beginning,356157.99594000005,699306.1710600001,0.08084359138764097,1270.62894,1815184.2,10,0.020618556701030927,1
B029,u4_rotation,1,120,60,cash,20,ending,357285.33895999996,701088.42011,0.07989799711118628,1605.4798899999998,2293542.7,9,0.018556701030927835,1
B030,u4_rotation,1,120,60,510050,5,beginning,410321.0836399999,807369.1521999999,0.08159237713529743,2498.2477999999996,3495755.0000000005,71,0.1463917525773196,1
B030,u4_rotation,1,120,60,510050,5,ending,403441.7489099999,786941.9881099998,0.08071317750978768,1790.4118899999999,2490731.0,70,0.14432989690721648,1
B031,u4_rotation,1,120,60,510050,20,beginning,389517.37894,742989.5671499999,0.07649874978705218,2315.33285,3300959.7,12,0.024742268041237112,1
B031,u4_rotation,1,120,60,510050,20,ending,381790.89218,725045.2720399998,0.07162808270605625,1202.12796,1710667.0,17,0.03505154639175258,1
B032,u4_rotation,1,120,120,cash,5,beginning,360549.21030999994,770176.6577999999,0.08065731920049313,1616.6421999999998,2308848.5,51,0.10515463917525773,1
B032,u4_rotation,1,120,120,cash,5,ending,362774.73612,776625.23766,0.07972024157737378,1483.56234,2112746.1999999997,50,0.10309278350515463,1
B033,u4_rotation,1,120,120,cash,20,beginning,356157.99594000005,749198.38216,0.08084359138764097,854.21784,1220311.2,12,0.024742268041237112,1
B033,u4_rotation,1,120,120,cash,20,ending,353710.58627999993,745119.6168300001,0.0797609232559856,1486.68317,2123833.1,10,0.020618556701030927,1
B034,u4_rotation,1,120,120,510050,5,beginning,410321.0836399999,830788.7988699998,0.08159237713529743,1480.70113,2042116.9000000001,68,0.1402061855670103,1
B034,u4_rotation,1,120,120,510050,5,ending,403441.7489099999,820735.0754099999,0.08071317750978768,1355.1245899999994,1868892.0,66,0.1360824742268041,1
B035,u4_rotation,1,120,120,510050,20,beginning,389517.37894,784172.0781199998,0.07649874978705218,1364.32188,1942372.6,12,0.024742268041237112,1
B035,u4_rotation,1,120,120,510050,20,ending,381790.89218,774620.7158399998,0.07162808270605625,788.68416,1120033.0,16,0.032989690721649485,1
B036,u4_rotation,2,20,20,cash,5,beginning,335160.1046099999,835104.7201599998,0.07052921610974228,10391.279840000003,14705623.799999995,41,0.08453608247422681,1
B036,u4_rotation,2,20,20,cash,5,ending,340376.34476999997,833899.4122000001,0.06978919728276634,9414.887799999999,13282657.899999999,39,0.08041237113402062,1
B037,u4_rotation,2,20,20,cash,20,beginning,379431.15588,881463.8833399997,0.06874754274873751,6032.21666,8604359.4,6,0.012371134020618556,1
B037,u4_rotation,2,20,20,cash,20,ending,377502.91714000015,871726.7159799999,0.07420486183580477,5275.8840199999995,7523729.199999999,7,0.01443298969072165,1
B038,u4_rotation,2,20,20,510050,5,beginning,341153.86473000003,832802.2553099999,0.07079835274022506,11587.44469,16391752.400000006,55,0.1134020618556701,1
B038,u4_rotation,2,20,20,510050,5,ending,384958.13850999996,880000.16951,0.0709170355151203,11403.43049,16110453.2,50,0.10309278350515463,1
B039,u4_rotation,2,20,20,510050,20,beginning,342953.19950999995,857242.9277999997,0.06265107336318099,5924.572199999999,8451067.4,10,0.020618556701030927,1
B039,u4_rotation,2,20,20,510050,20,ending,373750.21219000005,882881.3866899998,0.07568709869960066,5632.31331,8034040.5,10,0.020618556701030927,1
B040,u4_rotation,2,20,60,cash,5,beginning,347563.5371100001,770296.4905099999,0.07886655635711837,7226.609489999998,10172326.3,37,0.07628865979381444,1
B040,u4_rotation,2,20,60,cash,5,ending,351336.39055999997,779733.3961199999,0.07972411116371181,6705.20388,9390399.2,39,0.08041237113402062,1
B041,u4_rotation,2,20,60,cash,20,beginning,358469.66863,823951.12519,0.07881767559507669,4277.1748099999995,6092205.3,8,0.016494845360824743,1
B041,u4_rotation,2,20,60,cash,20,ending,358934.09976,814679.1670499998,0.08011011926638523,4233.03295,6029904.9,7,0.01443298969072165,1
B042,u4_rotation,2,20,60,510050,5,beginning,387866.82008,839520.35046,0.07888819286131099,8892.749539999999,12489531.9,54,0.11134020618556702,1
B042,u4_rotation,2,20,60,510050,5,ending,385201.92815,841252.0624699999,0.07971200139099677,8268.637529999998,11582951.499999994,51,0.10515463917525773,1
B043,u4_rotation,2,20,60,510050,20,beginning,392290.15636,883945.0545699997,0.07732363866204217,5794.44543,8252590.299999999,9,0.018556701030927835,1
B043,u4_rotation,2,20,60,510050,20,ending,387059.39191000006,875933.2180899999,0.07882615764750023,4971.08191,7075959.6000000015,10,0.020618556701030927,1
B044,u4_rotation,2,20,120,cash,5,beginning,352703.83408000006,816341.5548800002,0.07067507440822307,8707.545119999999,12275531.299999999,41,0.08453608247422681,1
B044,u4_rotation,2,20,120,cash,5,ending,356349.7290400001,815412.7234700001,0.07022547945796465,8352.876530000001,11781298.0,40,0.08247422680412371,1
B045,u4_rotation,2,20,120,cash,20,beginning,364442.08793000004,852733.03226,0.05780910118001792,4009.0677399999995,5708554.400000001,10,0.020618556701030927,1
B045,u4_rotation,2,20,120,cash,20,ending,360005.8894,841182.74168,0.05768664939540613,4045.5583200000005,5760763.0,8,0.016494845360824743,1
B046,u4_rotation,2,20,120,510050,5,beginning,403065.7790300001,875450.0970999999,0.07180242728053732,9795.602900000002,13783685.899999999,56,0.1154639175257732,1
B046,u4_rotation,2,20,120,510050,5,ending,398164.23506,864500.7440599999,0.0711571559267723,9157.655940000002,12868797.200000001,53,0.10927835051546392,1
B047,u4_rotation,2,20,120,510050,20,beginning,397083.6564900001,909813.86256,0.057985670284208535,4337.93744,6171497.400000001,10,0.020618556701030927,1
B047,u4_rotation,2,20,120,510050,20,ending,389145.56441999995,892702.6676299999,0.05785880067184479,4033.3323700000005,5737200.3,13,0.026804123711340205,1
B048,u4_rotation,2,60,20,cash,5,beginning,350476.89238999994,841939.1986100001,0.06349087701975686,11041.501389999998,15653451.0,38,0.07835051546391752,1
B048,u4_rotation,2,60,20,cash,5,ending,346076.63990000007,829291.9288600003,0.06310145093980946,10431.57114,14758887.9,34,0.07010309278350516,1
B049,u4_rotation,2,60,20,cash,20,beginning,338543.25893999997,767890.17154,0.06033510806096554,4805.528459999999,6859414.999999999,9,0.018556701030927835,1
B049,u4_rotation,2,60,20,cash,20,ending,371270.31122000003,802366.4136900001,0.07118013529251122,4767.88631,6804881.899999999,8,0.016494845360824743,1
B050,u4_rotation,2,60,20,510050,5,beginning,390478.68624,879367.5972599998,0.0594847406867246,12324.102740000006,17404424.4,51,0.10515463917525773,1
B050,u4_rotation,2,60,20,510050,5,ending,388109.4715600001,869599.99396,0.05944154779527744,11944.40604,16867613.69999999,48,0.09896907216494845,1
B051,u4_rotation,2,60,20,510050,20,beginning,376638.5171500001,818134.3153199998,0.06374506840755167,5403.88468,7714968.200000001,12,0.024742268041237112,1
B051,u4_rotation,2,60,20,510050,20,ending,371270.31122000003,803070.88575,0.07118013529251122,4161.514249999999,5939394.7,16,0.032989690721649485,1
B052,u4_rotation,2,60,60,cash,5,beginning,349654.12782,730454.9581899999,0.08189618001359711,6131.541810000001,8576173.900000002,35,0.07216494845360824,1
B052,u4_rotation,2,60,60,cash,5,ending,350675.4419999999,731391.48861,0.08185505398740789,5694.611389999999,7960691.5,35,0.07216494845360824,1
B053,u4_rotation,2,60,60,cash,20,beginning,340401.5961799999,745809.64638,0.07828973624854774,4281.453619999999,6104631.6,7,0.01443298969072165,1
B053,u4_rotation,2,60,60,cash,20,ending,342815.27686999994,739005.6103099997,0.07811015018453416,3636.2896900000005,5189353.1,8,0.016494845360824743,1
B054,u4_rotation,2,60,60,510050,5,beginning,388059.20227,796266.24794,0.08188567144133552,7400.852059999999,10301218.7,48,0.09896907216494845,1
B054,u4_rotation,2,60,60,510050,5,ending,384510.16366,787919.9296699999,0.08190929620484466,6814.870329999996,9515850.4,47,0.09690721649484536,1
B055,u4_rotation,2,60,60,510050,20,beginning,375415.02459000004,784161.0907999998,0.07855338756744323,4388.709199999999,6252310.5,10,0.020618556701030927,1
B055,u4_rotation,2,60,60,510050,20,ending,369464.53966,778636.5945299999,0.08189783064094791,3914.50547,5573761.3,12,0.024742268041237112,1
B056,u4_rotation,2,60,120,cash,5,beginning,346126.15509,823003.5694899999,0.07182675989817355,6119.230509999998,8554702.299999999,37,0.07628865979381444,1
B056,u4_rotation,2,60,120,cash,5,ending,350303.06208,821522.57795,0.0650282467673059,5924.52205,8266964.3,34,0.07010309278350516,1
B057,u4_rotation,2,60,120,cash,20,beginning,347925.20274000004,777828.96857,0.060263532737575454,3410.63143,4861198.7,11,0.02268041237113402,1
B057,u4_rotation,2,60,120,cash,20,ending,345222.44414,771103.5634900001,0.060078504030661506,3471.336509999999,4953705.7,9,0.018556701030927835,1
B058,u4_rotation,2,60,120,510050,5,beginning,395749.00403000007,883176.2540399998,0.07183074772875775,6726.8459600000015,9354132.500000002,51,0.10515463917525773,1
B058,u4_rotation,2,60,120,510050,5,ending,391494.12777,871666.86282,0.06507785171354741,6308.337179999999,8748517.4,48,0.09896907216494845,1
B059,u4_rotation,2,60,120,510050,20,beginning,379065.51318,812797.0469800001,0.06045883216272274,3776.953019999999,5378615.200000001,10,0.020618556701030927,1
B059,u4_rotation,2,60,120,510050,20,ending,373011.86524,802326.4861499998,0.06022754325254487,3506.8138499999995,4991344.699999999,13,0.026804123711340205,1
B060,u4_rotation,2,120,20,cash,5,beginning,343933.08109,807802.1681399997,0.055928109222190714,11214.031860000001,15907799.600000001,35,0.07216494845360824,1
B060,u4_rotation,2,120,20,cash,5,ending,343751.02532,801653.45472,0.05589687627312345,10630.845280000003,15057196.099999998,34,0.07010309278350516,1
B061,u4_rotation,2,120,20,cash,20,beginning,375846.3879000001,808152.9855899999,0.06785699302027082,4201.71441,5996823.5,8,0.016494845360824743,1
B061,u4_rotation,2,120,20,cash,20,ending,373779.46551,801893.5703499999,0.07108794204761881,3896.92965,5561416.7,8,0.016494845360824743,1
B062,u4_rotation,2,120,20,510050,5,beginning,348005.84907000005,826901.3929399996,0.05592727105280537,11927.007059999998,16835218.0,57,0.11752577319587629,1
B062,u4_rotation,2,120,20,510050,5,ending,388852.06286999985,856622.2894599999,0.055933304712417864,12090.810540000002,17094107.1,54,0.11134020618556702,1
B063,u4_rotation,2,120,20,510050,20,beginning,375052.98083,819009.5058299999,0.06784689855450621,4506.39417,6432838.9,11,0.02268041237113402,1
B063,u4_rotation,2,120,20,510050,20,ending,340220.55018,774149.9141299999,0.06756060549953558,3788.2858699999997,5405452.699999998,15,0.030927835051546393,1
B064,u4_rotation,2,120,60,cash,5,beginning,352750.56032,733403.6724299999,0.10300271536675276,6427.72757,9021340.599999998,35,0.07216494845360824,1
B064,u4_rotation,2,120,60,cash,5,ending,348334.59698000003,721417.36765,0.1028741739791138,6484.932350000001,9102611.999999998,32,0.06597938144329897,1
B065,u4_rotation,2,120,60,cash,20,beginning,346005.41099,741259.98164,0.10737632567891975,2903.4183600000006,4135411.0,8,0.016494845360824743,1
B065,u4_rotation,2,120,60,cash,20,ending,347235.54163,745114.66461,0.10321371197979679,3045.03539,4343506.5,7,0.01443298969072165,1
B066,u4_rotation,2,120,60,510050,5,beginning,392149.28251,760349.72343,0.1033353007475677,7620.67657,10646689.000000002,56,0.1154639175257732,1
B066,u4_rotation,2,120,60,510050,5,ending,388296.24132999993,764723.75718,0.10322622212746879,7231.44282,10101078.899999997,53,0.10927835051546392,1
B067,u4_rotation,2,120,60,510050,20,beginning,376976.20469,785551.5172599999,0.06774699326404432,2922.1827399999997,4156317.2,12,0.024742268041237112,1
B067,u4_rotation,2,120,60,510050,20,ending,371131.18316000013,766129.1196900001,0.10735846887312561,2993.08031,4263225.1,14,0.0288659793814433,1
B068,u4_rotation,2,120,120,cash,5,beginning,344488.51094,796293.6844999999,0.07184008716121904,6017.4155,8416890.399999999,37,0.07628865979381444,1
B068,u4_rotation,2,120,120,cash,5,ending,349553.4013099999,797263.1451599998,0.07039676318991017,5827.654839999999,8148335.799999997,36,0.07422680412371134,1
B069,u4_rotation,2,120,120,cash,20,beginning,346005.41099,812788.73993,0.06770710193066865,2286.96007,3255514.9000000004,10,0.020618556701030927,1
B069,u4_rotation,2,120,120,cash,20,ending,343768.05647000007,804438.0762499999,0.06754769443152231,2428.72375,3463061.3,9,0.018556701030927835,1
B070,u4_rotation,2,120,120,510050,5,beginning,393861.74078,853682.9026800002,0.07183939792219163,6606.69732,9201446.0,54,0.11134020618556702,1
B070,u4_rotation,2,120,120,510050,5,ending,389807.45434,844090.70182,0.07038836827744854,6181.19818,8601077.400000002,51,0.10515463917525773,1
B071,u4_rotation,2,120,120,510050,20,beginning,376976.20469,849658.1062699999,0.06780518161457316,2567.99373,3651091.5,10,0.020618556701030927,1
B071,u4_rotation,2,120,120,510050,20,ending,371131.18316000013,836974.8030000001,0.06765814686487959,2388.4970000000003,3393909.0000000005,13,0.026804123711340205,1
