spec_id,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,valid,overlay_executed,dual_target_pass
CO-0078,2025-04,0.0034722222222222,419309.48685,865678.4302,788.3999999999941,-14340.000000000056,0,0,4,1,238.78674000000004,-0.1769083100487013,2,False,True,False
CO-0079,2025-04,0.0034722222222222,419309.48685,865678.4302,788.3999999999941,-14340.000000000056,0,0,4,1,238.78674000000004,-0.1769083100487013,2,False,True,False
CO-0080,2025-04,0.0034722222222222,419309.48685,860216.6097600001,768.7999999999942,-19320.00000000003,0,0,6,1,270.64736000000005,-0.1769083100487013,2,False,True,False
CO-0081,2025-04,0.0034722222222222,419309.48685,860216.6097600001,768.7999999999942,-19320.00000000003,0,0,6,1,270.64736000000005,-0.1769083100487013,2,False,True,False
CO-0082,2025-04,0.0034722222222222,419309.48685,860216.6097600001,768.7999999999942,-19320.00000000003,0,0,6,1,270.64736000000005,-0.1769083100487013,2,False,True,False
CO-0083,2025-04,0.0034722222222222,419309.48685,860216.6097600001,768.7999999999942,-19320.00000000003,0,0,6,1,270.64736000000005,-0.1769083100487013,2,False,True,False
CO-0084,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0085,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0086,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0087,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0088,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0089,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0090,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0091,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0092,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0093,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0094,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0095,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0096,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0097,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0098,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0099,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0100,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0101,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0102,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0103,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0104,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0105,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0106,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
CO-0107,,0.0,419309.48685,874676.72759,914.099999999993,0.0,0,0,0,1,170.89553999999998,-0.1144036793306556,0,True,False,False
