strategy,family,deposit_timing,n_windows,p_success,p_w12,p_w24,median_w24,p10_w24,p90_w24,median_max_drawdown,p95_max_drawdown,p_w24_below_deposit,p_w24_below_720k,p_drawdown_gt_35,p_drawdown_gt_50,avg_turnover,fee_drag,financing_drag,score,worst_w12,worst_w24,p5_w24,p95_w24,worst_drawdown,worst_recovery_days
S1_mom_lb20_top1_monthly_ma60,S1,beginning,234,0.0,0.03418803418803419,0.03418803418803419,720000.0,626958.781950134,856027.2228233208,0.11700445028121964,0.27743589743589736,0.36752136752136755,0.36752136752136755,0.0,0.0,0.025355383914791117,3347.4068901430164,0.0,-23.33331417771559,277926.6413010367,552988.4421841975,593830.6797620634,1025112.44927096,0.2774358974358976,215.0
S1_ramom_lb20_top1_monthly_ma60,S1,beginning,234,0.0,0.02564102564102564,0.021367521367521368,720000.0,625439.7469414265,853498.78519445,0.11368573582017194,0.27743589743589736,0.36752136752136755,0.36752136752136755,0.0,0.0,0.025884547750423384,3441.399308581,0.0,-23.33860581607191,278197.2099950325,535873.629858791,595385.356708417,983201.592277429,0.27743589743589747,202.0
S1_mom_lb60_top2_monthly_ma60,S1,ending,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,615725.5811395599,807799.6275159209,0.11517055811224697,0.2445133242047861,0.3717948717948718,0.3717948717948718,0.0,0.0,0.01585358038822539,1957.063762077548,0.0,-23.387868792022584,290973.25402463553,546284.6846672613,594336.2520239591,1004740.0903367079,0.24451332420478633,156.0
S1_mom_lb120_top1_weekly_ma60,S1,ending,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,651559.718448289,791762.0563089831,0.10166632354294747,0.27743589743589725,0.36752136752136755,0.36752136752136755,0.0,0.0,0.03277285613586249,4105.833777185216,0.0,-23.407488899926303,278483.08470873756,515933.9808914338,640288.5492422489,880641.6800802319,0.27743589743589747,156.0
S1_mom_lb120_top2_monthly_ma200,S1,ending,234,0.0,0.008547008547008548,0.0,720000.0,652743.7902772995,797003.958869246,0.10558397414714821,0.3701326609246372,0.32905982905982906,0.32905982905982906,0.0641025641025641,0.0,0.009255599340487718,1171.4885931554793,0.0,-23.42872658838281,310758.67985269683,598755.4715826669,631755.6575025641,860689.0477812084,0.4121665030471424,195.0
S1_mom_lb20_top1_monthly_ma60,S1,ending,234,0.0,0.02564102564102564,0.02564102564102564,720000.0,630760.2633829805,846739.1379372018,0.10141589836660636,0.27743589743589736,0.3717948717948718,0.3717948717948718,0.0,0.0,0.02470478125627428,3089.554595448062,0.0,-23.476380800703073,288676.2201456392,560442.1517707226,602642.2314160509,1002542.388285497,0.2774358974358976,196.0
S1_mom_lb60_top1_monthly_ma200,S1,ending,234,0.0,0.017094017094017096,0.01282051282051282,720000.0,645303.5393083852,847360.9417265027,0.10246850436093452,0.4401483118311995,0.3162393162393162,0.3162393162393162,0.0811965811965812,0.0,0.0166489709241197,2160.0003830944183,0.0,-23.48129278285161,295963.11668671446,563425.4748951575,595867.8870079102,919763.9853223691,0.46102624143177984,195.0
S1_ramom_lb20_top1_monthly_ma60,S1,ending,234,0.0,0.021367521367521368,0.017094017094017096,720000.0,629799.3624898173,846045.579402561,0.10141589836660636,0.2774358974358973,0.3717948717948718,0.3717948717948718,0.0,0.0,0.025233945091906546,3178.0902040126434,0.0,-23.481672439059395,288867.612637167,544734.7665316036,602985.5042838288,962507.9705792193,0.27743589743589747,196.0
S1_mom_lb120_top2_monthly_none,S1,beginning,234,0.029914529914529916,0.07264957264957266,0.07692307692307693,739203.4657635265,638902.7808067647,1023324.1273894614,0.13804243982195086,0.37500926283560515,0.42735042735042733,0.42735042735042733,0.06837606837606838,0.0,0.01646660478184382,2066.6423027492006,0.0,-23.5299522615661,281968.99773228745,559876.6620144155,612641.6375793974,1542987.4801678634,0.4150349781275746,236.0
S1_ramom_lb120_top2_weekly_ma60,S1,beginning,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,651939.2847369774,820865.5292530196,0.08860618228629524,0.2450421648778428,0.3717948717948718,0.3717948717948718,0.0,0.0,0.03016648742301824,3956.8345345416014,0.0,-23.530997862370512,274218.6643944749,519399.6125417979,636905.6804628796,928358.3469497771,0.24504216487784292,156.0
S1_mom_lb120_top2_monthly_ma200,S1,beginning,234,0.0,0.008547008547008548,0.0,720000.0,647512.1430285817,799106.3284692707,0.10760027815622575,0.37486351942598795,0.32905982905982906,0.32905982905982906,0.06837606837606838,0.0,0.009862052805507055,1272.14771470794,0.0,-23.541628729870613,304842.73224297183,591993.054724155,627246.6182809316,862624.8139120629,0.41401962540136594,215.0
S1_mom_lb120_top1_weekly_ma60,S1,beginning,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,647520.4926209796,795253.8781791616,0.10166632354294752,0.27794169230769217,0.3717948717948718,0.3717948717948718,0.0,0.0,0.03433686957914294,4453.242137952155,0.0,-23.572701683931758,267866.18246961595,505160.65981286595,636588.7827915308,898107.7031663867,0.2779416923076924,172.0
S1_mom_lb60_top1_monthly_ma200,S1,beginning,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,639160.2156509368,857030.9777153389,0.11949685534591181,0.44427133632509447,0.3162393162393162,0.3162393162393162,0.08547008547008547,0.0,0.01721144009098518,2336.487261280267,0.0,-23.59375508135787,289981.2600542163,555396.2612417166,588883.0973245589,931816.1371308259,0.4616445500571038,215.0
S1_ramom_lb60_top1_monthly_ma200,S1,beginning,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,619142.510024049,846911.9201775279,0.11949685534591181,0.4452085202756392,0.3162393162393162,0.3162393162393162,0.08547008547008547,0.0,0.018320995616247837,2447.8176173877555,0.0,-23.604850636610497,289981.2600542163,554857.1074057941,588775.6986718487,960347.3463873855,0.4621393857415912,215.0
S1_ramom_lb60_top1_monthly_ma200,S1,ending,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,625698.1433352699,841858.4439853515,0.10382101190127235,0.4411516924112721,0.32051282051282054,0.32051282051282054,0.0811965811965812,0.0,0.01775852644938236,2261.8341826340984,0.0,-23.641960987676885,295963.11668671446,563133.134152142,595867.8870079102,945957.7491347971,0.4615412961145431,214.0
S1_ramom_lb60_top2_weekly_ma200,S1,beginning,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,657318.4798893521,837070.4277730114,0.08949236525678439,0.39055864532676055,0.3247863247863248,0.3247863247863248,0.07264957264957266,0.0,0.029200337532533566,3826.6429552572035,0.0,-23.69227653440583,312182.65190290124,601893.224584992,646834.8137015349,975190.114630324,0.4099030779590921,156.0
S1_mom_lb60_top1_monthly_ma60,S1,ending,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,626163.4022739487,816130.423040025,0.12066208206786838,0.2774358974358973,0.3803418803418803,0.3803418803418803,0.0,0.0,0.01857678221725762,2365.1746364854453,0.0,-23.714246109458198,288468.0228548368,532135.5015270531,593600.5876358344,967357.1835439712,0.2774358974358976,195.0
S1_mom_lb60_top1_monthly_ma60,S1,beginning,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,620841.3305898939,821872.8185903948,0.12881235935217478,0.27743589743589736,0.3803418803418803,0.3803418803418803,0.0,0.0,0.01920109542891794,2562.413337102194,0.0,-23.720489241574803,277671.74986903166,522497.42905241763,586924.8786728721,975940.3921408211,0.2774358974358976,215.0
S1_ramom_lb60_top2_weekly_ma200,S1,ending,234,0.0,0.017094017094017096,0.01282051282051282,720000.0,661484.7056107431,826740.6379741168,0.08949236525678439,0.38609232643029107,0.3333333333333333,0.3333333333333333,0.06837606837606838,0.0,0.027741328002031624,3529.688992069122,0.0,-23.869994131408507,317353.5302033416,609418.6075677146,651520.9399934617,956054.3623088119,0.40918151796487456,155.0
S1_ramom_lb120_top2_monthly_none,S1,beginning,234,0.029914529914529916,0.0811965811965812,0.0811965811965812,737001.6770550939,639510.6799982662,1040328.7210465166,0.13804243982195086,0.378814364487867,0.4358974358974359,0.4358974358974359,0.06837606837606838,0.0,0.015369982554346549,1923.4989950172699,0.0,-23.877792161374696,285598.3015587277,567723.3380264393,616615.4403868429,1542987.4801678634,0.41788306286885923,236.0
S1_ramom_lb120_top1_monthly_ma200,S1,beginning,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,643445.0223683795,807311.7180017515,0.10135135135135154,0.44335526969234246,0.32905982905982906,0.32905982905982906,0.08547008547008547,0.0,0.014089441748000472,1811.4643289812564,0.0,-24.011253046645972,299113.6772178378,581123.6601746632,613112.1407951148,857915.9312250519,0.4603634117601898,236.0
S1_mom_lb60_top2_weekly_ma200,S1,beginning,234,0.0,0.029914529914529916,0.017094017094017096,720000.0,655820.8882064321,825226.2529521652,0.08949236525678439,0.3918843646494143,0.33760683760683763,0.33760683760683763,0.07264957264957266,0.0,0.030578457690708327,4037.018940986447,0.0,-24.154775684705527,314274.00258080475,602572.7951515666,649181.977519962,1024055.6622889704,0.41073815491895127,172.0
S1_mom_lb120_top1_monthly_none,S1,beginning,234,0.029914529914529916,0.07264957264957266,0.07692307692307693,743033.853630906,624724.9405508834,1017233.8232588033,0.14441747572815555,0.44034779021257114,0.4358974358974359,0.4358974358974359,0.08547008547008547,0.0,0.0200823373687573,2575.7400362511576,0.0,-24.189237348658224,273159.4755847648,561909.6406011165,607613.8189852359,1542987.4801678634,0.4593750080376988,256.0
S1_ramom_lb120_top1_monthly_ma200,S1,ending,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,648516.0102375344,803513.4498717156,0.1011592388238185,0.4397064327646918,0.33760683760683763,0.33760683760683763,0.0811965811965812,0.0,0.013482988282981135,1669.4881500478027,0.0,-24.19749620430347,306204.5048330364,587658.7122489259,618500.6467613745,852096.2743593178,0.4597016121724212,235.0
S1_ramom_lb120_top2_weekly_none,S1,beginning,234,0.02564102564102564,0.0811965811965812,0.07264957264957266,734161.6904014796,641656.7103944891,1002283.4244661699,0.14213117973814737,0.3935646796455855,0.42735042735042733,0.42735042735042733,0.06837606837606838,0.0,0.02930118295036161,3739.7007929392735,0.0,-24.22252682747973,300446.92885495187,565658.3503412083,624060.3444334135,1529098.1038835968,0.4495985767463341,236.0
S1_ramom_lb60_top2_weekly_ma60,S1,beginning,234,0.0,0.017094017094017096,0.008547008547008548,720000.0,636154.8545343434,789910.6740452824,0.09172049249953307,0.2450421648778428,0.3888888888888889,0.3888888888888889,0.0,0.0,0.03996278209267537,5172.196838679598,0.0,-24.227251407357677,304455.0263359157,605568.2615203998,623740.5631439012,894615.1801997577,0.24504216487784292,195.0
S1_mom_lb60_top1_weekly_ma200,S1,beginning,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,648587.5792642384,830631.4413456979,0.10135135135135143,0.44516274410314927,0.32905982905982906,0.32905982905982906,0.08547008547008547,0.0,0.03704525873795056,4955.790345066043,0.0,-24.240811216545474,309282.28142400883,586016.733915562,632435.3873158116,994194.721477871,0.4622606349183739,195.0
S1_ramom_lb60_top1_weekly_ma200,S1,beginning,234,0.0,0.029914529914529916,0.021367521367521368,720000.0,655754.8328222744,817586.6269430388,0.10135135135135143,0.44664304060114873,0.32905982905982906,0.32905982905982906,0.08547008547008547,0.0,0.04319288222579225,5892.01784739589,0.0,-24.30228745142389,303122.611021357,580244.4911565614,640244.8878097733,1047043.3207754006,0.46305222391056533,215.0
S1_mom_lb120_top2_weekly_none,S1,beginning,234,0.02564102564102564,0.07692307692307693,0.07264957264957266,735369.124719216,645549.6997532325,992451.8858884017,0.14213117973814737,0.3890960037247738,0.43162393162393164,0.43162393162393164,0.06837606837606838,0.0,0.028067629829014007,3502.3712525181136,0.0,-24.32689809295507,297097.1376866195,565658.3503412083,626434.5505880901,1529098.1038835968,0.44651679761370466,236.0
