strategy,family,worst_timing_success,median_w24,worst_w24,p5_w24,worst_drawdown,passes_numeric_dual_target,passes_strict_gate,blocking_reason
S1_mom_lb120_top2_weekly_ma200,S1,0.0,720000.0,605945.8462920673,673221.6291586118,0.396857113423843,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top2_weekly_ma60,S1,0.0,720000.0,544251.6965900502,643048.4905722637,0.24504216487784292,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top1_monthly_ma200,S1,0.0,720000.0,556640.5216696565,607124.2353079143,0.3782010036573361,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top1_monthly_ma60,S1,0.0,720000.0,552988.4421841975,593830.6797620634,0.2774358974358976,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top1_weekly_ma200,S1,0.0,720000.0,585467.5266809891,623274.5334591329,0.3031253012383711,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top1_weekly_ma60,S1,0.0,720000.0,558193.3815395292,601686.5426029034,0.2779416923076924,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top2_monthly_ma200,S1,0.0,720000.0,550434.5591855797,612630.0906334228,0.34364214027654005,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top2_monthly_ma60,S1,0.0,720000.0,548723.5649744789,611555.638025109,0.24451332420478633,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top2_weekly_ma200,S1,0.0,720000.0,601402.8787988228,649955.7967533582,0.28654079598623594,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top2_weekly_ma60,S1,0.0,720000.0,579364.6095822937,623407.8200290645,0.2646982567626617,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top1_monthly_ma200,S1,0.0,720000.0,555396.2612417166,588883.0973245589,0.4616445500571038,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top1_monthly_ma60,S1,0.0,720000.0,522497.42905241763,586924.8786728721,0.2774358974358976,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top1_weekly_ma200,S1,0.0,720000.0,586016.733915562,632435.3873158116,0.4622606349183739,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top1_weekly_ma60,S1,0.0,720000.0,558933.289922696,606921.8588775642,0.2779416923076925,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top2_monthly_ma200,S1,0.0,720000.0,565638.7786306062,594206.0727006221,0.39873943876297446,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top2_monthly_ma60,S1,0.0,720000.0,537667.3822977905,587990.6588722131,0.24451332420478644,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top2_weekly_ma200,S1,0.0,720000.0,602572.7951515666,649181.977519962,0.41073815491895127,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top2_weekly_ma60,S1,0.0,720000.0,604566.2477956509,620319.1398082414,0.24504216487784292,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top1_monthly_ma200,S1,0.0,720000.0,581123.6601746632,613112.1407951148,0.4603634117601898,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top1_monthly_ma60,S1,0.0,720000.0,520027.72385820764,601602.302630469,0.2774358974358976,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
