chunk,rows,sha256,mode,validated
20120830_20120830,1,a845543a68abac44dca10157a17720be82fea4e4c21debea1762a097bc9b75eb,cache,True
20120831_20120831,1,f4ab7df84705f127071fd9027c5e5c992f98bef6e53b720b12f73f1410d1804c,cache,True
20120903_20120903,1,212bc52720030ec3c95676bc94d244d85ac297399548b661670f7c2ddaacf5ab,cache,True
20120904_20120904,1,764939b72c61fe47d30297d3882c83cf11db82d54f52a17229bcca74a6873615,cache,True
20120905_20120905,1,b19770ab80da439053f1cd1f5d21b85fd2ee9be1f577b9767563fede2c63e6d4,cache,True
20120906_20120906,1,ad7f1616bea24cd5cb38b2b1cb0377e57ca4b436b44534ff62c709b90fdefc01,cache,True
20120907_20120907,1,10acd6bc2574b9416d389118302c1cd00c3000c38cf7de9ea95c425cbcb13a8c,cache,True
20120910_20120910,1,da4a1459565e19d2b8c350dfdf71abc43544df750564aab05675f050f060f8c4,cache,True
20120911_20120911,1,eeaa3d29fc5565a44f5e0c30590bf0ee36b1b42beee07d527129f2106ea07313,cache,True
20120912_20120912,1,4040af0ffd8bd8f465db3ca7015dc24e395154fea4ce516b8c15602c72cc92cb,cache,True
20120913_20120913,1,b21ca6af22a99db297ebdfcff829653d83774b2ef0a30fc9505b506d3ac1cced,cache,True
20120914_20120914,1,980e7a0f9c96789eaf84a580f0748edd94687cf8aa3f34d27ee3e6b275938655,cache,True
20120917_20120917,1,304018a50daee747008796d3660d1e741eb1d38bafd1047a0bdcc31ce4375c33,cache,True
20120918_20120918,1,7f4ea706f135d6d2f56ed4d1660858548fb1cb87f249e7179d57a8273da41d5f,cache,True
20120919_20120919,1,fac75efa3778564f7e8e4bc78773a9616c705e76a3cfd4b9bbc01e073b8863e6,cache,True
20120920_20120920,1,1f1acdeeaea08dd53dfd1628c8bd495cde1fad20ad837b4e537b9012e37883ee,cache,True
20120921_20120921,1,37c7fdd7f36e04838a9261d71bf553fccb7a52156c121e4784c2823973e4cabb,cache,True
20120924_20120924,1,eb2dc5f5f63d11882d3275dae972c376b19d09361fcd4d843787d8748395d58f,cache,True
20120925_20120925,1,443ddd12b15af64abab2c05ae8d877a8bb923a6b283f4b52032ed359227f6f10,cache,True
20120926_20120926,1,500e4e1839decd78b70196d40ee6fca3f9c3eec70cf36595dda5d013bfb6fc86,cache,True
20120927_20120927,1,a810caccebfc3c91bbecb2497b059d320681e67087929ff6699d72b33e222e8b,cache,True
20120928_20120928,1,d8ee1c0786184815b5bf7e3f85b195e470ed07f251654e6732ea32fe7b6993fe,cache,True
20121008_20121008,1,8c8365e16132ac8fef96fa55c6385084d5a28603ada90b8b27304f6571d2bf53,cache,True
20121009_20121009,1,04ac8413c70a0e5f8b6b2100d8e8d4b040a7ef09db9ac27c0cea3ad046614404,cache,True
20121010_20121010,1,df999c1201dbc1503c685e405e08ed3616fa3013ff7a0fd01b3a012adc9543e8,cache,True
20121011_20121011,1,30d00bb61cf2a92051962684d4c8af0359006b8e6c14e228ede140bb359cafda,cache,True
20121012_20121012,1,002a1b8456c0acf74d8e9657f8ac787b6b34befd13e8ecd219c91c97e6c86cff,cache,True
20121015_20121015,1,f843d50dc85cb8ced494158080c8542a2827a9e4648ef542863c96eb30c117bc,cache,True
20121016_20121016,1,94336201a6bd9d26cee76f1c2e86704b891f1a478481b04d677b3e112886471f,cache,True
20121017_20121017,1,a786477573810a83c833195573b85f950dd63c7f92db8f3776bab66691d9989b,cache,True
20121018_20121018,1,cfacee2c077a41c0cd926e90acdde296fc309fe40d83fce085f8e606d2dae08f,cache,True
20121019_20121019,1,8a14467feec6f054975de5d2d75168b8389e043c253e5350b822b9147661ceee,cache,True
20121022_20121022,1,4a1a6b5bcc5c20c4b2b2b3ca5211e8ebef0b034ab6cad5255711d63222cfd3ca,cache,True
20121023_20121023,1,ce94a3cb77f2ba20d0c2138e6c7c351e8cd92903376af278740d9d90d4858762,cache,True
20121024_20121024,1,2c53c118a0238899f0d3eb17d21d45221bd58d828e1874b8f6461f3294fc1050,cache,True
