spec_id,W12,W24,etf_pnl,futures_pnl,first_feasible_month,feasible_date_rate,margin_peak,margin_mean,margin_to_nav_peak,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,valid,overlay_executed,dual_target_pass
CO-0458,399584.1860800001,837689.84744,17880.699999999986,-57050.99999999988,2024-10,0.037037037037037,168432.0,98112.8412371134,0.5137815878666451,0,0,2,436.83031,-0.1551551153742789,0,0,154,0,2,0,0,0,True,True,False
CO-0459,399584.1860800001,837689.84744,17880.699999999986,-57050.99999999988,2024-10,0.037037037037037,168432.0,98112.8412371134,0.5137815878666451,0,0,2,436.83031,-0.1551551153742789,0,0,154,0,2,0,0,0,True,True,False
CO-0460,399552.1860800001,837657.84744,17880.699999999986,-61850.99999999988,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5020207881993604,0,0,4,468.83031,-0.1552404650904995,0,0,154,0,2,0,0,0,True,True,False
CO-0461,399552.1860800001,837657.84744,17880.699999999986,-61850.99999999988,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5020207881993604,0,0,4,468.83031,-0.1552404650904995,0,0,154,0,2,0,0,0,True,True,False
CO-0462,399552.1860800001,837657.84744,17880.699999999986,-61850.99999999988,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5020207881993604,0,0,4,468.83031,-0.1552404650904995,0,0,154,0,2,0,0,0,True,True,False
CO-0463,399552.1860800001,837657.84744,17880.699999999986,-61850.99999999988,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5020207881993604,0,0,4,468.83031,-0.1552404650904995,0,0,154,0,2,0,0,0,True,True,False
CO-0464,399514.68443000014,837569.8582200002,17871.199999999986,-77750.99999999988,2024-10,0.0823529411764705,168432.0,98057.19587628866,0.4951308865904446,0,0,6,500.73746,-0.1553258148067199,0,0,154,0,2,0,0,0,True,True,False
CO-0465,399514.68443000014,837569.8582200002,17871.199999999986,-77750.99999999988,2024-10,0.0823529411764705,168432.0,98057.19587628866,0.4951308865904446,0,0,6,500.73746,-0.1553258148067199,0,0,154,0,2,0,0,0,True,True,False
CO-0466,399514.68443000014,837569.8582200002,17871.199999999986,-77750.99999999988,2024-10,0.0823529411764705,168432.0,98057.19587628866,0.4951308865904446,0,0,6,500.73746,-0.1553258148067199,0,0,154,0,2,0,0,0,True,True,False
CO-0467,399514.68443000014,837569.8582200002,17871.199999999986,-77750.99999999988,2024-10,0.0823529411764705,168432.0,98057.19587628866,0.4951308865904446,0,0,6,500.73746,-0.1553258148067199,0,0,154,0,2,0,0,0,True,True,False
CO-0444,391473.1522400001,827359.6591500002,13448.099999999982,-57050.99999999988,2024-10,0.0246913580246913,168432.0,98112.8412371134,0.5299467807301087,0,0,2,369.62049,-0.1593057393464635,0,15,140,0,2,0,0,0,True,True,False
CO-0445,391473.1522400001,827359.6591500002,13448.099999999982,-57050.99999999988,2024-10,0.0246913580246913,168432.0,98112.8412371134,0.5299467807301087,0,0,2,369.62049,-0.1593057393464635,0,15,140,0,2,0,0,0,True,True,False
CO-0446,391473.1522400001,827359.6591500002,13448.099999999982,-57050.99999999988,2024-10,0.0246913580246913,168432.0,98112.8412371134,0.5299467807301087,0,0,2,369.62049,-0.1593057393464635,0,15,140,0,2,0,0,0,True,True,False
CO-0447,391473.1522400001,827359.6591500002,13448.099999999982,-57050.99999999988,2024-10,0.0246913580246913,168432.0,98112.8412371134,0.5299467807301087,0,0,2,369.62049,-0.1593057393464635,0,15,140,0,2,0,0,0,True,True,False
CO-0520,390236.9185400001,825699.5259100001,13420.49999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6284578746566295,0,0,7,535.1225699999998,-0.1723292908285956,0,19,41,0,2,0,0,0,True,True,False
CO-0521,390236.9185400001,825699.5259100001,13420.49999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6284578746566295,0,0,7,535.1225699999998,-0.1723292908285956,0,19,41,0,2,0,0,0,True,True,False
CO-0522,390236.9185400001,825699.5259100001,13420.49999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6284578746566295,0,0,7,535.1225699999998,-0.1723292908285956,0,19,41,0,2,0,0,0,True,True,False
CO-0523,390236.9185400001,825699.5259100001,13420.49999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6284578746566295,0,0,7,535.1225699999998,-0.1723292908285956,0,19,41,0,2,0,0,0,True,True,False
CO-0524,388669.48745000025,823705.0880300002,13436.89999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6284578746566295,0,0,11,600.5221,-0.1715495756624758,0,20,41,0,2,0,0,0,True,True,False
CO-0525,388669.48745000025,823705.0880300002,13436.89999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6284578746566295,0,0,11,600.5221,-0.1715495756624758,0,20,41,0,2,0,0,0,True,True,False
CO-0526,388669.48745000025,823705.0880300002,13436.89999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6284578746566295,0,0,11,600.5221,-0.1715495756624758,0,20,41,0,2,0,0,0,True,True,False
CO-0527,388669.48745000025,823705.0880300002,13436.89999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6284578746566295,0,0,11,600.5221,-0.1715495756624758,0,20,41,0,2,0,0,0,True,True,False
CO-0516,384079.7845900001,817843.4397200001,13110.999999999982,-62330.999999999854,2024-08,0.1034482758620689,168432.0,100728.89072164948,0.6285427748062186,0,0,3,452.83855,-0.162643341661729,0,8,41,0,2,0,0,0,True,True,False
CO-0517,384079.7845900001,817843.4397200001,13110.999999999982,-62330.999999999854,2024-08,0.1034482758620689,168432.0,100728.89072164948,0.6285427748062186,0,0,3,452.83855,-0.162643341661729,0,8,41,0,2,0,0,0,True,True,False
