spec_id,cohorts,worst_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,passes_targets,passes_strict_gate,blocking_reason
U3-B034,124,273170.0524499999,578334.6881500002,610900.7471205004,735045.95149,0.0,6,0,0.286018766099968,0.6170212765957447,21124.6657,30045669.199999988,False,False,dual_target_failure
U3-B035,124,255074.21662,564529.1323700001,612119.7615210002,738838.39863,0.0,6,0,0.2789398850761994,0.5666666666666667,5937.07261,8481532.3,False,False,dual_target_failure
U3-B036,124,287514.7854800001,552307.1287,640610.9441500002,723884.03711,0.0,6,0,0.15879871679668145,0.3393939393939394,17092.0087313,24180978.759000007,False,False,dual_target_failure
U3-B037,124,281592.15400000004,614811.3346700002,634706.220731,724113.3764599999,0.0,6,0,0.3006384045948902,0.2708333333333333,8432.504331999999,12046434.760000002,False,False,dual_target_failure
U3-B038,124,300976.11522,605272.9255900001,639200.6002110199,769535.1522550003,0.0,6,0,0.2763809281635151,0.3582887700534759,21889.045799999996,31037533.1,False,False,dual_target_failure
U3-B039,124,291112.10751999996,575228.31103,645639.9472340603,748297.1382000002,0.0,6,0,0.30084773826868216,0.32608695652173914,12091.687593999997,17273839.42,False,False,dual_target_failure
U3-B040,124,321012.88414,643432.5239799999,666976.2808735002,750964.2835749999,0.0,6,0,0.20032988551400754,0.3959731543624161,12967.544390000003,18296593.9,False,False,dual_target_failure
U3-B041,124,308001.9850208,616275.1949479998,642114.0465620799,720131.9716999999,0.0,6,0,0.2387335573536591,0.32142857142857145,7080.14384,10114491.200000001,False,False,dual_target_failure
U3-B042,124,284642.72907,580228.3035599999,627376.8709315001,784472.4052049997,0.0,6,0,0.2687662126376389,0.42857142857142855,15541.48022,21947211.400000002,False,False,dual_target_failure
U3-B043,124,265273.9584468,545172.0626887999,587387.15879404,763031.9599550001,0.0,6,0,0.27882828763218137,0.325,7425.7995,10608285.0,False,False,dual_target_failure
U3-B044,124,299672.07625,595186.3784003998,608478.45807954,746477.68492,0.0,6,0,0.2353843251494282,0.41843971631205673,12084.651718600002,17055177.898000002,False,False,dual_target_failure
U3-B045,124,288649.91065999994,593944.8274164,613281.5494004999,743240.132355,0.0,6,0,0.2387335573536591,0.3793103448275862,5483.584704000001,7828168.32,False,False,dual_target_failure
U3-B046,124,263299.3918348,551110.8697244003,606833.47264552,774249.6295199997,0.0,6,0,0.28612186718141774,0.44285714285714284,16629.9135547,23495331.820999995,False,False,dual_target_failure
U3-B047,124,271740.574262,580142.7618488,645810.2405972499,764154.7533950001,0.0,6,0,0.27882828763218137,0.3488372093023256,6647.848308000001,9491402.040000001,False,False,dual_target_failure
U3-B048,124,289656.94504000014,561638.2293300002,623007.96603676,709848.9035849998,0.0,6,0,0.15879871679668145,0.36075949367088606,16757.724607299995,23754717.339000013,False,False,dual_target_failure
U3-B049,124,268937.30764,588967.8789100001,625584.1562950002,716236.2333800001,0.0,6,0,0.3006384045948902,0.3111111111111111,6810.277177999999,9725469.540000001,False,False,dual_target_failure
U3-B050,124,298856.28776000004,607759.4179600002,635075.8158357801,751397.229835,0.0,6,0,0.2763809281635151,0.3707865168539326,22023.244394199995,31229989.40600001,False,False,dual_target_failure
U3-B051,124,277757.1390999999,577996.1437800002,638777.07081688,738095.951425,0.0,6,0,0.30084773826868216,0.3409090909090909,11460.746556,16372495.079999998,False,False,dual_target_failure
U3-B052,124,310270.71738000005,639149.3975000001,654920.8026070001,737242.3240250001,0.0,6,0,0.20077563292609635,0.43884892086330934,13335.99118,18812654.900000002,False,False,dual_target_failure
U3-B053,124,302666.80504,614098.4179360003,635115.6563572802,717042.7528814999,0.0,6,0,0.24086160516708355,0.34210526315789475,6105.34691,8716010.7,False,False,dual_target_failure
U3-B054,124,284617.47609999997,579794.2375799998,611592.7334239999,764196.3686749998,0.0,6,0,0.26869597602702067,0.4452054794520548,16126.128929999997,22746966.70000001,False,False,dual_target_failure
U3-B055,124,265273.9584468,549475.8300555999,578587.6316550801,751081.1488600001,0.0,6,0,0.27896698041761414,0.3958333333333333,7302.3584200000005,10431940.6,False,False,dual_target_failure
U3-B056,124,299385.41914,579737.2752,599668.92133279,738765.609865,0.0,6,0,0.23597002837684233,0.4732824427480916,10866.581979999999,15282728.500000002,False,False,dual_target_failure
U3-B057,124,284104.95983,587849.5980508002,598343.02995814,733715.347295,0.0,6,0,0.24086160516708355,0.35135135135135137,4700.48628,6714980.4,False,False,dual_target_failure
U3-B058,124,262876.92944479996,549539.3904160002,601010.41573606,764053.627965,0.0,6,0,0.2864565423723745,0.44525547445255476,14769.529330000003,20797140.700000007,False,False,dual_target_failure
U3-B059,124,271740.574262,579742.1565366,632010.79855547,746212.0086349999,0.0,6,0,0.27896698041761414,0.4222222222222222,4873.75679,6962509.699999999,False,False,dual_target_failure
U3-B060,124,289451.4833200001,568105.3677399997,615855.62036596,725232.6618899999,0.0,6,0,0.15879871679668145,0.33125,17467.290829999998,24765910.900000002,False,False,dual_target_failure
U3-B061,124,269583.77501000004,591597.3410800004,614575.7732465001,718057.4406150001,0.0,6,0,0.3006384045948902,0.30434782608695654,7608.28513,10865480.899999999,False,False,dual_target_failure
U3-B062,124,302033.59066,606454.19961,627199.7690607603,766917.9211550001,0.0,6,0,0.2763809281635151,0.3619631901840491,22290.166169999997,31627016.0,False,False,dual_target_failure
U3-B063,124,278662.0050700001,573933.1344299996,637651.7528094001,737962.51527,0.0,6,0,0.30084773826868216,0.3488372093023256,11590.543790000002,16557919.700000001,False,False,dual_target_failure
U3-B064,124,321723.9786899999,627522.6058300004,664438.7861894998,744458.784545,0.0,6,0,0.20032988551400754,0.4014084507042254,12709.107520000003,17861374.400000002,False,False,dual_target_failure
U3-B065,124,302823.43039,611449.1737079999,628965.92775557,720578.9983300001,0.0,6,0,0.2387335573536591,0.3333333333333333,5976.655940000001,8530623.3,False,False,dual_target_failure
U3-B066,124,282587.61260999995,571142.3565299999,604101.9314395,769542.8103450002,0.0,6,0,0.2687662126376389,0.4225352112676056,14130.260849999999,19900998.8,False,False,dual_target_failure
U3-B067,124,264650.14299520006,545178.0389498001,573788.54414615,749435.8191649999,0.0,6,0,0.27882828763218137,0.35135135135135137,7123.975299999998,10162900.0,False,False,dual_target_failure
U3-B068,124,294580.54303999996,580252.9850548,599312.88657626,735739.2038,0.0,6,0,0.2353843251494282,0.44360902255639095,10069.55453,14057160.999999998,False,False,dual_target_failure
U3-B069,124,276576.63289,588268.9584888,596369.0394405199,735536.51061,0.0,6,0,0.2387335573536591,0.35135135135135137,3351.9317300000007,4788473.9,False,False,dual_target_failure
U3-B070,124,262447.08336080005,550585.0431000005,600022.9105642198,763790.4013,0.0,6,0,0.28612186718141774,0.44360902255639095,14241.053489999998,20080326.199999996,False,False,dual_target_failure
U3-B071,124,269146.4716400001,575618.258452,633496.97844534,758388.173525,0.0,6,0,0.27882828763218137,0.4,4544.20138,6489253.400000001,False,False,dual_target_failure
