universe,family,spec_id,parameters
U2,C,U2-C016,"[0.1, 5, 10, 0.6]"
U2,C,U2-C017,"[0.1, 5, 10, 1.0]"
U2,C,U2-C018,"[0.1, 20, 3, 0.3]"
U2,C,U2-C019,"[0.1, 20, 3, 0.6]"
U2,C,U2-C020,"[0.1, 20, 3, 1.0]"
U2,C,U2-C021,"[0.1, 20, 10, 0.3]"
U2,C,U2-C022,"[0.1, 20, 10, 0.6]"
U2,C,U2-C023,"[0.1, 20, 10, 1.0]"
U2,C,U2-C024,"[0.15, 5, 3, 0.3]"
U2,C,U2-C025,"[0.15, 5, 3, 0.6]"
U2,C,U2-C026,"[0.15, 5, 3, 1.0]"
U2,C,U2-C027,"[0.15, 5, 10, 0.3]"
U2,C,U2-C028,"[0.15, 5, 10, 0.6]"
U2,C,U2-C029,"[0.15, 5, 10, 1.0]"
U2,C,U2-C030,"[0.15, 20, 3, 0.3]"
U2,C,U2-C031,"[0.15, 20, 3, 0.6]"
U2,C,U2-C032,"[0.15, 20, 3, 1.0]"
U2,C,U2-C033,"[0.15, 20, 10, 0.3]"
U2,C,U2-C034,"[0.15, 20, 10, 0.6]"
U2,C,U2-C035,"[0.15, 20, 10, 1.0]"
U2,D,U2-D000,"[0.1, 0.3, ""inverse_volatility""]"
U2,D,U2-D001,"[0.1, 0.3, ""minimum_variance""]"
U2,D,U2-D002,"[0.1, 0.6, ""inverse_volatility""]"
U2,D,U2-D003,"[0.1, 0.6, ""minimum_variance""]"
U2,D,U2-D004,"[0.1, 1.0, ""inverse_volatility""]"
U2,D,U2-D005,"[0.1, 1.0, ""minimum_variance""]"
U2,D,U2-D006,"[0.15, 0.3, ""inverse_volatility""]"
U2,D,U2-D007,"[0.15, 0.3, ""minimum_variance""]"
U2,D,U2-D008,"[0.15, 0.6, ""inverse_volatility""]"
U2,D,U2-D009,"[0.15, 0.6, ""minimum_variance""]"
U2,D,U2-D010,"[0.15, 1.0, ""inverse_volatility""]"
U2,D,U2-D011,"[0.15, 1.0, ""minimum_variance""]"
U2,D,U2-D012,"[0.2, 0.3, ""inverse_volatility""]"
U2,D,U2-D013,"[0.2, 0.3, ""minimum_variance""]"
U2,D,U2-D014,"[0.2, 0.6, ""inverse_volatility""]"
U2,D,U2-D015,"[0.2, 0.6, ""minimum_variance""]"
U2,D,U2-D016,"[0.2, 1.0, ""inverse_volatility""]"
U2,D,U2-D017,"[0.2, 1.0, ""minimum_variance""]"
