spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-A022,124,336025.99363000016,340205.4546255,660885.0056,667112.13832648,740238.1226949999,0.0,6,0,0.05587400763356809,0.0,9296.526460000003,13138396.600000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A023,124,311887.90748799994,334382.404637,646039.547856,672883.776785,738355.9692863999,0.0,6,0,0.15182570832746978,0.0,3998.59216,5708271.499999999,True,0,0,0,0,0,False,False,dual_target_failure
U3-A024,124,345115.19639000006,349097.4264605,668516.9955000001,688044.0203634999,732458.8697714,0.0,6,0,0.04414780916573746,0.0,4715.59747,6538020.3,True,0,0,0,0,0,False,False,dual_target_failure
U3-A025,124,339862.82934000005,344856.52249,678980.5700300001,689511.954417,724770.7968350002,0.0,6,0,0.0875141677935305,0.0,2084.3012700000004,2963019.0000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A026,124,345115.19639000006,349097.4264605,668516.9955000001,688044.0203634999,732458.8697714,0.0,6,0,0.04414780916573746,0.0,4715.59747,6538020.3,True,0,0,0,0,0,False,False,dual_target_failure
U3-A027,124,339862.82934000005,344856.52249,678980.5700300001,689511.954417,724770.7968350002,0.0,6,0,0.0875141677935305,0.0,2084.3012700000004,2963019.0000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A028,124,333838.45881000016,340927.527735,631599.9064600002,664666.1597805,728315.290975,0.0,6,0,0.07669530827027982,0.0,8035.940860000001,11311271.600000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A029,124,324006.4186600001,333604.31208,649455.1002600002,666013.4158275,716898.5923649999,0.0,6,0,0.15466089349234224,0.0,3710.6969399999994,5298056.4,True,0,0,0,0,0,False,False,dual_target_failure
U3-A030,124,333838.45881000016,340927.527735,631599.9064600002,664666.1597805,728315.290975,0.0,6,0,0.07669530827027982,0.0,8035.940860000001,11311271.600000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A031,124,324006.4186600001,333604.31208,649455.1002600002,666013.4158275,716898.5923649999,0.0,6,0,0.15466089349234224,0.0,3710.6969399999994,5298056.4,True,0,0,0,0,0,False,False,dual_target_failure
U3-A032,124,322370.83950999996,332691.4221249999,596285.0904400003,640565.1933294999,724990.6444555998,0.0,6,0,0.11368422553826674,0.3125,11320.261230000004,16057859.300000003,True,0,5042,0,0,0,False,False,dual_target_failure
U3-A033,124,307666.82541000005,322453.23438000004,621269.7137900002,642276.522839,710712.4240300001,0.0,6,0,0.22204810576968947,0.2972972972972973,5398.96896,7712812.8,True,0,1059,0,0,0,False,False,dual_target_failure
U3-A034,124,333838.45881000016,340927.527735,631599.9064600002,664666.1597805,728315.290975,0.0,6,0,0.07669530827027982,0.0,8035.940860000001,11311271.600000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A035,124,324006.4186600001,333604.31208,649455.1002600002,666013.4158275,716898.5923649999,0.0,6,0,0.15466089349234224,0.0,3710.6969399999994,5298056.4,True,0,0,0,0,0,False,False,dual_target_failure
